日期,节点名称,数据项,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
2024-01-01,全省,电价,356.6369426752,366.5435244161,357.6743099788,353.7961104034,341.0326284501,314.7361528662,306.5813927813,310.0651252654,306.5813927813,310.0184161359,286.4082250531,273.6442972399,228.0136433121,0.9210191083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8233545648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5961104034,91.5707176221,91.7382929936,82.6214607219,73.5531847134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8119745223,148.5987261146,313.5417834395,307.1040339703,342.0049214437,338.8050955414,336.8237791932,336.8237791932,346.7303609342,346.7303609342,346.7303609342,346.7303609342,342.0049214437,338.8050955414,338.8050955414,338.8050955414,341.7770700637,320.4184798301,317.0106157113,311.0666666667,320.4184798301,277.3842887473,94.1125265393,86.6095541401,0.9116772824,1.8233545648,0.0
2024-01-02,全省,电价,291.7367303609,328.2053842887,311.7950615711,319.0884798301,291.7381613588,291.7381613588,308.3580382166,311.7950615711,309.9717070064,300.8536348195,282.620089172,282.620089172,227.9194522293,300.8535031847,273.5031847134,227.9193205945,9.9190488323,0.0,9.9190488323,182.3362292994,9.7527303609,224.0988747346,274.3063949045,306.5346836518,319.0884798301,328.2053842887,331.8520934183,341.8805435244,382.9579575372,387.4304373673,389.0100552017,401.8703949045,421.0297239915,450.7759957537,455.7734607219,495.5539193206,524.3534352442,555.6267600849,556.497656051,566.3635498938,535.0991592357,563.8618343949,643.6484713376,569.7581273885,644.4646539278,602.3460976645,521.2905307856,461.1462590234,401.6227133758,411.5420721868,407.7932101911,404.592462845,413.1400764331,417.5364585987,483.2188407643,531.528581741,545.4745605096,506.4753460722,494.2129681529,493.8858174098,494.6277452229,500.5224501062,497.8005053079,496.6702165605,495.9883949045,522.0969936306,511.634866242,518.9621443737,548.6551889597,548.5690191083,506.8060084926,506.8060084926,508.1204713376,519.2470658174,524.603163482,509.6467006369,509.2481528662,509.6470828025,509.6467006369,508.6615201699,507.5743651805,507.5744798301,507.5743651805,507.4595753715,508.8830106157,507.3440212314,502.3673248408,500.0029384289,505.8979235669,515.8464501062,505.2823779193,485.4692144374,475.5626326964,445.8428874735,421.076433121,406.2165605096
2024-01-03,全省,电价,416.1044585987,450.0,435.0,415.0,420.0,410.0,410.0,400.0,400.0,396.0,390.0,390.0,390.0,388.0,381.0,380.0,375.0,370.0,366.5715498938,366.5622080679,366.5622080679,366.552866242,367.8969511677,371.4968152866,378.4314225053,396.2632696391,406.16985138,416.0475583864,423.2243227176,431.5894055202,455.428641189,458.5064076433,479.5351719745,500.388985138,499.3250021231,506.6323184713,504.89,513.3733333333,514.4583057325,514.525477707,511.4408237792,539.5286326964,562.6964203822,521.9488704883,578.7756900212,571.5847940552,484.1223184713,441.7980849257,380.7007728238,381.1314225053,384.0818428875,384.0555116773,394.4249936306,405.8887218684,448.7772016985,464.7436305732,469.6932908705,474.5175329087,466.6718768577,473.531044586,472.6718046709,476.1433715499,483.6364246285,481.9123142251,485.749477707,490.113507431,496.0014522293,517.5857282378,520.3962208068,509.8335286624,484.3827346072,489.7305053079,507.6482590234,495.443104034,490.9172484076,492.5188067941,492.5094649682,504.9122335456,502.4366963907,496.4510700637,499.9133630573,505.1785732484,499.8973673036,499.0774012739,488.9097622081,498.9612611465,487.9920254777,487.4034989384,486.1078853503,487.3143269639,487.3143269639,475.3212186837,457.5577664544,437.7969511677,416.0311847134,406.137940552
2024-01-04,全省,电价,411.1231422505,419.3753248408,407.1605095541,396.2632696391,396.2632696391,391.3099787686,396.2632696391,391.3099787686,393.2912951168,391.3099787686,391.3099787686,387.7691422505,386.4557537155,386.3566878981,386.3566878981,382.9431847134,380.4127388535,377.3619023355,376.4501061571,376.4501061571,377.4407643312,382.3940552017,386.3566878981,386.3566878981,396.2632696391,406.1797579618,419.8918343949,435.889596603,445.7773757962,458.9637919321,454.422641189,455.607388535,479.5239023355,500.7660127389,500.6516772824,504.5397070064,489.7340849257,498.2576050955,503.5082420382,511.2722038217,506.8099915074,531.9896433121,511.3498428875,501.7181953291,527.2257112527,525.776895966,465.2494904459,436.8481146497,259.2827558386,245.510089172,259.7158853503,255.9075031847,259.3984670913,261.0236220807,334.3876305732,333.2782802548,346.0281783439,413.4567898089,433.3168152866,440.1656475584,447.9764543524,443.515477707,453.2519872611,451.059596603,466.6358895966,476.1481061571,481.0188492569,479.0906496815,479.0255796178,473.8158089172,456.4163227176,469.7513121019,484.6659532909,484.665970276,486.2183821656,492.3979320594,495.8581953291,515.8427218684,509.5350997877,499.1441868365,500.7627303609,500.7986029724,500.7986029724,499.1818895966,495.1190318471,498.3998556263,495.1772526539,503.7540467091,500.0,490.0,490.0,460.0,448.0,430.0,410.0,400.0
2024-01-05,全省,电价,432.6522292994,442.6522292994,436.875388535,424.2174649682,424.2867898089,420.0,425.0,420.0,425.0,420.0,420.0,420.0,415.0,415.0,410.02,410.0,410.0,407.48,409.0,405.0,410.0,410.0,415.0,420.0,430.0,440.0,465.0,490.0,487.5457961783,487.4739320594,491.6270870488,492.4487091295,510.459418259,539.1965774947,525.6319023355,538.2929384289,552.1132229299,545.5184246285,561.6663057325,531.8311295117,513.0799745223,561.2366029724,545.2476475584,522.580895966,576.8497919321,525.435626327,465.7497452229,485.4000084926,381.1332823779,549.2472059448,604.5786963907,596.7143354565,607.3364373673,608.4746242038,464.3560169851,701.1965095541,708.7831210191,456.2977707006,431.0516942675,451.3650912951,465.9697749469,471.1299235669,477.4553545648,471.1109341826,477.6725477707,491.3831932059,509.535970276,510.7765647558,533.8621995754,522.7268195329,481.5663609342,501.4415329087,515.7710106157,539.3472526539,684.9468619958,539.6602335456,569.9020467091,615.6201061571,599.4441656051,554.0904585987,546.7321740977,546.7223397028,536.8879447983,507.3847600849,497.5503651805,497.5503651805,487.715970276,497.5503651805,487.715970276,477.8815753715,462.9813630573,452.1635286624,442.7784373673,427.4719278132,408.8241273885,399.1993205945
2024-01-06,全省,电价,431.7980552017,453.5373333333,443.6944458599,431.8625987261,443.6944458599,428.9046369427,433.8345732484,433.8345732484,439.0898853503,429.8906242038,428.9046369427,423.9747006369,422.0027261146,419.0447643312,414.1148280255,414.1148280255,407.2129087049,404.2746666667,404.2549469214,404.2549469214,404.2549469214,404.2549469214,404.2746666667,414.1148280255,419.0447728238,423.9747091295,433.8345647558,448.615881104,453.4864543524,463.2019532909,473.0066242038,473.0643142251,493.0465095541,483.1857537155,498.627537155,493.0465095541,493.0598938429,498.3194097665,502.9191295117,496.6747048832,497.9943142251,493.0693460722,492.9910530786,492.9580849257,493.995970276,507.0426836518,472.8154819533,465.0818089172,403.4926369427,415.862089172,413.5749214437,406.3612653928,414.0624458599,420.2285180467,458.0875626327,464.8200552017,456.9546794055,454.3054437367,456.8092993631,456.8720721868,476.683596603,489.2861868365,493.1301868365,493.1114437367,495.9386751592,498.6268832272,502.8894946921,493.2623142251,512.7331082803,512.7331082803,492.9610233546,493.177388535,500.9208025478,502.8903269639,512.7339745223,493.0466496815,493.0466496815,502.8903269639,498.6179660297,493.0466496815,493.0466496815,493.0638641189,493.044492569,492.9089596603,492.9089596603,492.9089511677,483.0660636943,496.5005774947,492.7900552017,492.7900552017,463.4772823779,453.4482377919,441.7225477707,424.9607643312,409.8357112527,401.7703354565
2024-01-07,全省,电价,424.2066624204,473.4780084926,443.8843779193,429.0945690021,434.0245053079,425.1506199575,432.0525307856,434.010492569,433.1010530786,429.0805562633,424.1703397028,424.1366072187,424.1366072187,424.1366072187,414.2767261146,414.2767261146,404.4028407643,401.9181528662,399.4729044586,399.4729044586,394.5009299363,394.5429681529,396.5149426752,404.3608025478,404.3608025478,404.3706624204,409.9414904459,419.1587218684,414.2338895966,424.0989087049,424.1476985138,414.2846496815,424.1674225053,428.0172059448,433.8379490446,438.3965307856,446.3395583864,446.2349681529,449.7928917197,443.377358811,452.733477707,448.4292696391,454.7513333333,454.6719830149,457.9911804671,459.1930997877,445.331910828,422.986641189,364.7437112527,373.6343694268,386.056089172,378.4985987261,381.5706666667,374.5420764331,394.2634734607,387.9317834395,378.1933715499,379.7018556263,381.8808237792,392.7672569002,419.6181825902,424.2971422505,427.4877367304,425.0061528662,435.7601104034,445.1427430998,450.3065392781,453.3404373673,470.5882929936,472.3535583864,454.9832738854,461.52214862,463.6395498938,480.2012144374,479.3623269639,461.1625944798,473.8051082803,483.528670913,468.8556305732,459.1663481953,458.8031974522,451.0793163482,446.1019363057,439.8466581741,449.3027983015,449.4516390658,429.9284416136,435.4578938429,439.6979830149,425.0293121019,415.2380764331,410.3522802548,396.2976900212,389.0425562633,367.1265987261,357.0366666667
2024-01-08,全省,电价,384.5694352442,401.8185053079,394.4433205945,383.583447983,384.5694352442,367.0483609342,376.681537155,374.7095626327,366.8215838641,366.8215838641,359.9196730361,354.9897367304,354.9897367304,347.0878259023,340.1859150743,337.2279532909,335.4827558386,335.2559787686,335.4827558386,335.2559787686,335.4827558386,337.4945265393,347.3146029724,357.1884883227,371.276866242,392.6458683652,405.3562717622,415.7625138004,419.9890021231,426.8195753715,421.2243694268,425.0030276008,448.6054012739,475.1178216561,482.8567728238,490.9214352442,481.5100042463,484.4045265393,484.2421316348,484.3128704883,484.5919320594,485.1572526539,492.1629214437,501.7514522293,502.2713715499,501.7657027601,474.6273673036,433.8566624204,387.8723312102,395.7889002123,401.3682038217,396.9956050955,400.0611380042,403.7504840764,430.9488407643,440.3938895966,439.5303481953,430.864373673,436.4815329087,439.5813078556,447.2591507431,460.8482929936,452.1676942675,466.3473375796,460.474403397,469.1012229299,469.1394394904,478.9434904459,478.9956178344,473.0869171975,458.3365265393,458.1867898089,461.1415456476,468.7857452229,478.4687685775,468.7717324841,478.5066624204,478.5960764331,478.5066624204,470.1073248408,475.4431210191,468.8238216561,468.7152526539,468.7152526539,459.0324118896,458.9934394904,458.9634225053,462.2598004246,452.4703227176,442.8003566879,430.2962123142,423.3059235669,414.1770360934,394.1329299363,378.6674819533,350.0738131635
2024-01-09,全省,电价,376.698641189,419.0961019108,409.2362208068,394.4464118896,399.3763481953,394.4323991507,399.3623354565,399.3623354565,403.3062845011,399.3623354565,394.4323991507,389.502462845,389.502462845,389.502462845,385.4993545648,384.5725265393,374.7126539278,374.7126539278,374.7126539278,374.7126539278,374.7126539278,384.5725265393,386.5445010616,394.4323991507,409.2222080679,424.0260382166,433.8392271762,453.4825392781,461.3313715499,473.117358811,463.2957027601,466.2719235669,492.9827515924,512.6855201699,542.2396602972,591.4965605096,553.6731719745,553.771881104,546.7499787686,560.6259660297,532.823329087,532.9039320594,513.1102377919,523.0300467091,513.1404755839,503.2503651805,473.2659787686,448.5492059448,414.1296730361,419.0553630573,422.0107770701,421.0256390658,423.9950658174,428.9058938429,473.2659787686,487.1011167728,473.0755159236,469.5000509554,473.6613715499,492.9687388535,492.9687388535,492.9687388535,512.6714989384,532.3882717622,532.3882717622,591.5050530786,512.6940042463,542.2566369427,542.2566369427,512.7024968153,483.1483566879,473.2969766454,496.6053418259,508.7759575372,542.2706496815,512.7165095541,542.2706496815,532.4192696391,522.5678895966,497.9394394904,496.6193545648,497.9394225053,532.4192696391,502.8651295117,493.0137324841,503.5974437367,499.940552017,499.940552017,483.8233545648,479.8089171975,469.847133758,449.923566879,430.0,421.0,405.66,390.0
2024-01-10,全省,电价,400.0,444.9660873251,429.9788045782,423.6441797372,426.9813480288,425.0030267062,426.9813480288,424.9930351844,425.312763883,420.0072657906,414.9915218313,409.9957609156,409.9957609156,405.0,400.0,400.0,390.94,390.0,390.0,389.0,390.0,390.0,397.0,405.0,413.9923696482,424.9830436626,434.9745654939,449.9618482408,450.2915684612,464.9491309877,449.9618482408,471.2569987283,500.0485544722,495.3855616787,490.4342136499,495.396032217,485.4838660449,493.3832344214,495.3991097923,495.3991097923,495.3991097923,493.0554005935,496.2513607461,496.3131835524,496.9755955914,506.5796184824,492.7941288682,458.5716786774,414.3276812209,415.2017846545,416.5747138618,416.5747138618,418.2761509114,426.1214497669,441.460101738,481.5520347605,478.9089529462,470.332513777,479.3719923696,473.7518821535,479.3812632471,484.3076303518,487.2374989402,481.7344552777,480.1535438745,492.6541627808,482.9992327257,490.1827977957,485.8790038152,490.1454684188,471.2714370496,470.0505765155,466.8768461212,480.5359220008,490.0621025858,490.0621025858,480.0675328529,494.5016405256,494.5016405256,490.1091055532,490.1699915218,490.0649554896,495.6246417974,500.0649554896,485.4894404409,485.4897541331,488.0582323018,481.7618397626,473.0461636287,467.0394446799,450.0335565918,433.9468037304,424.1514328105,406.7516786774,390.946180585,365.0045358203
