日期,机组名称,变动成本电价
2024-01-01,汕尾161机组,370.87
2024-01-01,汕尾162机组,370.87
2024-01-01,韶关164机组,459.39
2024-01-01,惠州235机组,699.18
2024-01-01,江门254机组,699.18
2024-01-01,肇庆256机组,699.18
2024-01-01,肇庆257机组,699.18
2024-01-01,深圳279机组,757.44
2024-01-01,深圳280机组,757.44
2024-01-01,深圳247机组,451.01
2024-01-01,惠州236机组,699.18
2024-01-01,惠州237机组,699.18
2024-01-01,深圳285机组,757.44
2024-01-01,深圳286机组,757.44
2024-01-01,东莞281机组,757.44
2024-01-01,东莞282机组,757.44
2024-01-01,东莞277机组,757.44
2024-01-01,惠州273机组,757.44
2024-01-01,惠州274机组,757.44
2024-01-01,深圳270机组,757.44
2024-01-01,深圳271机组,757.44
2024-01-01,深圳272机组,757.44
2024-01-01,佛山268机组,757.44
2024-01-01,佛山269机组,757.44
2024-01-01,中山266机组,757.44
2024-01-01,中山267机组,757.44
2024-01-01,珠海262机组,757.44
2024-01-01,珠海263机组,757.44
2024-01-01,中山259机组,699.18
2024-01-01,江门255机组,699.18
2024-01-01,中山260机组,699.18
2024-01-01,中山261机组,699.18
2024-01-01,韶关165机组,459.39
2024-01-01,珠海170机组,399.66
2024-01-01,珠海171机组,399.66
2024-01-01,广州7机组,699.18
2024-01-01,广州8机组,699.18
2024-01-01,东莞289机组,757.44
2024-01-01,湛江172机组,370.87
2024-01-01,湛江173机组,370.87
2024-01-01,广州291机组,661.04
2024-01-01,广州292机组,661.04
2024-01-01,清远293机组,699.18
2024-01-01,清远294机组,699.18
2024-01-01,阳江72机组,370.87
2024-01-01,阳江73机组,370.87
2024-01-01,东莞283机组,699.18
2024-01-01,东莞284机组,699.18
2024-01-01,东莞295机组,699.18
2024-01-01,东莞296机组,699.18
2024-01-01,珠海299机组,699.18
2024-01-01,珠海300机组,699.18
2024-01-01,茂名174机组,370.87
2024-01-01,茂名175机组,370.87
2024-01-01,东莞290机组,757.44
2024-01-01,东莞301机组,699.18
2024-01-01,东莞302机组,699.18
2024-01-01,东莞303机组,699.18
2024-01-01,东莞304机组,699.18
2024-01-01,佛山30机组,464.39
2024-01-01,阳江379机组,0.0
2024-01-01,湛江422机组,0.0
2024-01-01,河源178机组,410.8
2024-01-01,河源179机组,410.8
2024-01-01,阳江469机组,0.0
2024-01-01,深圳287机组,699.18
2024-01-01,广州307机组,699.18
2024-01-01,深圳288机组,699.18
2024-01-01,广州308机组,699.18
2024-01-01,佛山305机组,699.18
2024-01-01,佛山306机组,699.18
2024-01-01,揭阳309机组,790.38
2024-01-01,阳江359机组,300.0
2024-01-01,揭阳310机组,790.38
2024-01-01,阳江360机组,300.0
2024-01-01,江门180机组,437.4
2024-01-01,江门518机组,0.0
2024-01-01,揭阳524机组,0.0
2024-01-01,清远532机组,0.0
2024-01-01,江门547机组,0.0
2024-01-01,江门545机组,0.0
2024-01-01,珠海431机组,0.0
2024-01-01,阳江481机组,0.0
2024-01-01,清远205机组,410.8
2024-01-01,清远206机组,410.8
2024-01-01,惠州482机组,0.0
2024-01-01,汕头331机组,394.66
2024-01-01,汕头332机组,394.66
2024-01-01,惠州275机组,699.18
2024-01-01,惠州276机组,699.18
2024-01-01,东莞333机组,699.18
2024-01-01,云浮209机组,437.4
2024-01-01,湛江423机组,0.0
2024-01-01,湛江424机组,0.0
2024-01-01,广州339机组,699.18
2024-01-01,广州340机组,699.18
2024-01-01,佛山556机组,0.0
2024-01-01,广州346机组,661.04
2024-01-01,广州347机组,661.04
2024-01-01,江门557机组,0.0
2024-01-01,韶关529机组,0.0
2024-01-01,清远562机组,0.0
2024-01-01,清远561机组,0.0
2024-01-01,湛江495机组,0.0
2024-01-01,阳江470机组,0.0
2024-01-01,江门570机组,0.0
2024-01-01,梅州585机组,0.0
2024-01-01,汕尾484机组,0.0
2024-01-01,汕尾485机组,0.0
2024-01-01,梅州612机组,0.0
2024-01-01,广州9机组,661.04
2024-01-01,阳江620机组,0.0
2024-01-01,江门578机组,0.0
2024-01-01,汕头621机组,0.0
2024-01-01,阳江623机组,0.0
2024-01-01,汕尾626机组,0.0
2024-01-01,汕尾627机组,0.0
2024-01-01,韶关628机组,0.0
2024-01-01,揭阳629机组,0.0
2024-01-01,揭阳630机组,0.0
2024-01-01,阳江631机组,0.0
