feature,importance
price_lag_96,0.20889765183888614
is_weekend,0.12411422989110885
hour_sin,0.08306261704679822
dayofweek,0.05231368030457153
hour_cos,0.049319904006307605
rolling_mean_7d,0.013473887539303476
rolling_min_24h,0.008760498543196615
dayofyear,0.004024928725702403
minute,0.0015380665499894696
month,0.0006748759813112847
hour,0.00030217432841783687
quarter,0.0
post_holiday_1,0.0
is_holiday,0.0
pre_holiday_1,0.0
rolling_mean_24h,-5.071770448724644e-05
rolling_max_24h,-0.0009698317404452927
coal_稳健_capacity_ratio,-0.0014434293885291494
market_prob_steady,-0.0015579912958162633
稳健_capacity_ratio,-0.0015579912958165187
coal_激进_capacity_ratio,-0.004159499733507566
market_prob_aggressive,-0.004562322802640395
激进_capacity_ratio,-0.004562361242773849
rolling_std_24h,-0.0074362327007106545
rolling_std_7d,-0.009583492448668907
gas_激进_capacity_ratio,-0.010363127886737022
gas_保守_capacity_ratio,-0.010400061214319068
gas_稳健_capacity_ratio,-0.011221057476526075
coal_保守_capacity_ratio,-0.021395317905798406
day,-0.03524821860906553
market_prob_conservative,-0.04244794467226576
保守_capacity_ratio,-0.042448693335968735
