feature,importance
dayofyear,0.07258287
price_lag_96,0.06392631
pre_holiday_1,0.062416352
gas_激进_capacity_ratio,0.054504547
gas_稳健_capacity_ratio,0.049017195
market_prob_steady,0.044417106
coal_保守_capacity_ratio,0.043450795
coal_稳健_capacity_ratio,0.038697902
稳健_capacity_ratio,0.038423024
激进_capacity_ratio,0.037572894
is_holiday,0.037366405
is_weekend,0.036189698
gas_保守_capacity_ratio,0.035397943
month,0.03428222
market_prob_conservative,0.031961694
quarter,0.031755943
dayofweek,0.030876739
day,0.024975117
hour_sin,0.023985257
coal_激进_capacity_ratio,0.022943877
保守_capacity_ratio,0.022816444
rolling_max_24h,0.022709476
market_prob_aggressive,0.022706736
rolling_std_7d,0.02132557
hour,0.016264837
rolling_mean_24h,0.015864003
rolling_mean_7d,0.015673239
hour_cos,0.014842302
rolling_min_24h,0.013877468
rolling_std_24h,0.009146561
post_holiday_1,0.00633135
minute,0.0036982032
